Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Medicine,HIST306,5000,7209,3 years,Accredited and recognized worldwide.,Statement of purpose.
Engineering,ARCH192,5000,8634,3 years,Includes research and project work.,Interview with faculty.
Law,BIO163,35000,37262,6 months,Prepares students for global careers.,Entrance exam required.
Computer Science,EE114,15000,16780,6 months,Comprehensive curriculum with practical exposure.,English proficiency test.
Mathematics,MATH106,10000,11749,3 years,Comprehensive curriculum with practical exposure.,Work experience preferred.
Physics,ME443,7500,10140,4 years,Comprehensive curriculum with practical exposure.,Portfolio submission.
Biology,BIO174,5000,6409,8 months,Covers fundamentals and advanced topics.,High school diploma or equivalent.
Economics,CS325,5000,5888,8 months,Accredited and recognized worldwide.,Portfolio submission.
Architecture,ME353,30000,34025,6 months,An in-depth study of the subject.,Work experience preferred.
Environmental Science,ECON488,7500,8525,4 years,Prepares students for global careers.,Work experience preferred.
