Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Engineering,BIO382,5000,9675,2 years,Accredited and recognized worldwide.,Minimum GPA 3.0.
Science,ECON143,2500,3665,4 years,Includes research and project work.,Letters of recommendation.
Medicine,ARCH164,35000,36645,1 year,Focuses on theoretical and applied aspects.,Entrance exam required.
Law,ME268,30000,32781,6 months,Prepares students for global careers.,Interview with faculty.
Economics,CS101,5000,9166,1 year,Accredited and recognized worldwide.,Bachelor degree in relevant field.
Mathematics,LAW340,7500,11869,1 year,Accredited and recognized worldwide.,Work experience preferred.
Computer Science,ECON232,5000,8319,4 years,Industry-oriented program.,Statement of purpose.
Biology,MATH147,35000,36192,2 years,Covers fundamentals and advanced topics.,Entrance exam required.
Philosophy,MED236,10000,11709,4 years,Includes research and project work.,Statement of purpose.
Agriculture,ENG212,5000,6464,8 months,Accredited and recognized worldwide.,Minimum GPA 3.0.
