Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Engineering,BIO430,25000,29643,3 years,Hands-on learning experience.,Statement of purpose.
Science,EE237,20000,24914,4 years,Accredited and recognized worldwide.,Bachelor degree in relevant field.
Medicine,EE421,2500,5232,3 years,Prepares students for global careers.,Bachelor degree in relevant field.
Law,LAW104,5000,7516,6 months,Designed for future professionals.,Letters of recommendation.
Economics,LAW287,15000,17169,2 years,Hands-on learning experience.,Entrance exam required.
Mathematics,ARCH275,35000,39165,4 years,Accredited and recognized worldwide.,Entrance exam required.
Computer Science,MATH215,15000,18467,8 months,Prepares students for global careers.,Entrance exam required.
Biology,MGMT438,7500,11771,4 years,An in-depth study of the subject.,Interview with faculty.
Philosophy,MGMT291,2500,4988,1 year,Designed for future professionals.,Bachelor degree in relevant field.
Pharmacy,LAW131,20000,21104,6 months,Focuses on theoretical and applied aspects.,Statement of purpose.
