Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Computer Science,ECON243,20000,23434,3 years,Hands-on learning experience.,Letters of recommendation.
Electrical Engineering,CS415,7500,8889,2 years,Includes research and project work.,Statement of purpose.
Mechanical Engineering,MED284,15000,15725,3 years,Industry-oriented program.,English proficiency test.
Civil Engineering,CHEM441,20000,20626,3 years,Accredited and recognized worldwide.,Bachelor degree in relevant field.
Chemical Engineering,ARCH123,5000,7838,1 year,Hands-on learning experience.,Statement of purpose.
Physics,ENG437,15000,18787,3 years,Hands-on learning experience.,Letters of recommendation.
Mathematics,ARCH192,7500,8820,8 months,Designed for future professionals.,Entrance exam required.
Management,EE179,35000,35883,2 years,Focuses on theoretical and applied aspects.,Letters of recommendation.
Design,EE288,20000,21402,6 months,Designed for future professionals.,Minimum GPA 3.0.
Environmental Science,PHYS135,1000,1741,1 year,Comprehensive curriculum with practical exposure.,Entrance exam required.
