Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Architecture,MGMT461,7500,9579,6 months,Accredited and recognized worldwide.,Interview with faculty.
Engineering,POL430,15000,19746,6 months,An in-depth study of the subject.,High school diploma or equivalent.
Medicine,MATH142,10000,12117,6 months,Industry-oriented program.,Portfolio submission.
Law,MATH263,2500,5387,4 years,Hands-on learning experience.,Letters of recommendation.
Computer Science,HIST217,2500,3137,3 years,Focuses on theoretical and applied aspects.,Entrance exam required.
Mathematics,HIST244,1000,4518,3 years,Designed for future professionals.,Bachelor degree in relevant field.
Physics,ARCH425,7500,11597,3 years,Covers fundamentals and advanced topics.,English proficiency test.
History,MGMT328,25000,28266,1 year,Designed for future professionals.,Entrance exam required.
Economics,HIST345,5000,9776,2 years,Industry-oriented program.,Portfolio submission.
Biology,MGMT488,15000,18530,1 year,Accredited and recognized worldwide.,Work experience preferred.
