Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Engineering,ENG463,10000,11656,3 years,Focuses on theoretical and applied aspects.,Letters of recommendation.
Science,ECON189,10000,14426,8 months,Comprehensive curriculum with practical exposure.,Bachelor degree in relevant field.
Medicine,MATH349,7500,11979,2 years,Covers fundamentals and advanced topics.,Minimum GPA 3.0.
Law,HIST349,20000,24441,1 year,An in-depth study of the subject.,Statement of purpose.
Economics,ECON164,15000,19557,2 years,Accredited and recognized worldwide.,Letters of recommendation.
Mathematics,ME367,10000,14341,2 years,Designed for future professionals.,Statement of purpose.
Computer Science,HIST474,10000,14994,2 years,Comprehensive curriculum with practical exposure.,English proficiency test.
Biology,LAW382,7500,11662,2 years,Focuses on theoretical and applied aspects.,Work experience preferred.
Philosophy,CS478,15000,17984,3 years,Comprehensive curriculum with practical exposure.,English proficiency test.
Pharmacy,EE379,7500,9173,2 years,Designed for future professionals.,Letters of recommendation.
