Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Computer Science,MATH109,35000,39060,8 months,Accredited and recognized worldwide.,Bachelor degree in relevant field.
Engineering,HIST308,35000,38774,4 years,Covers fundamentals and advanced topics.,Work experience preferred.
Medicine,HIST497,5000,6330,4 years,Focuses on theoretical and applied aspects.,Bachelor degree in relevant field.
Business,BIO152,25000,28447,1 year,An in-depth study of the subject.,Letters of recommendation.
Law,HIST385,1000,3689,1 year,Designed for future professionals.,Portfolio submission.
Mathematics,ME303,1000,1564,8 months,Focuses on theoretical and applied aspects.,Work experience preferred.
Physics,ECON145,10000,14988,8 months,Designed for future professionals.,Work experience preferred.
Biology,HIST173,30000,31034,3 years,Designed for future professionals.,Letters of recommendation.
Economics,POL357,15000,15684,4 years,Prepares students for global careers.,Entrance exam required.
Political Science,EE136,25000,27804,8 months,An in-depth study of the subject.,Entrance exam required.
