Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Commerce,POL172,7500,11506,4 years,Designed for future professionals.,Letters of recommendation.
Economics,BIO197,7500,10295,2 years,Includes research and project work.,High school diploma or equivalent.
Political Science,ECON393,5000,7731,4 years,Accredited and recognized worldwide.,Letters of recommendation.
History,ARCH146,35000,37928,4 years,Comprehensive curriculum with practical exposure.,Entrance exam required.
Mathematics,EE430,10000,12356,8 months,Focuses on theoretical and applied aspects.,Letters of recommendation.
Physics,PHYS139,1000,4686,1 year,Industry-oriented program.,Entrance exam required.
Chemistry,PHYS184,15000,16863,6 months,Accredited and recognized worldwide.,Work experience preferred.
English,MGMT167,7500,9404,8 months,An in-depth study of the subject.,Bachelor degree in relevant field.
Law,ECON466,35000,39975,8 months,Industry-oriented program.,Bachelor degree in relevant field.
Management,ECON106,20000,23432,2 years,Covers fundamentals and advanced topics.,Portfolio submission.
