Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Mathematics,ENG436,1000,5278,6 months,An in-depth study of the subject.,Letters of recommendation.
Engineering,EE211,35000,39586,3 years,Focuses on theoretical and applied aspects.,Entrance exam required.
Law,MATH467,20000,23792,2 years,Focuses on theoretical and applied aspects.,Interview with faculty.
Medicine,MGMT124,20000,22806,3 years,Focuses on theoretical and applied aspects.,English proficiency test.
Computer Science,ENG204,25000,25795,2 years,Accredited and recognized worldwide.,High school diploma or equivalent.
Physics,MED134,25000,26715,6 months,Comprehensive curriculum with practical exposure.,Portfolio submission.
History,MGMT101,35000,39424,6 months,Designed for future professionals.,Statement of purpose.
Economics,ME194,2500,3793,8 months,Hands-on learning experience.,Letters of recommendation.
Biology,BIO120,10000,12644,2 years,Hands-on learning experience.,Letters of recommendation.
Architecture,ARCH431,2500,5584,4 years,Hands-on learning experience.,Bachelor degree in relevant field.
