Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Philosophy,MATH434,35000,38043,8 months,Includes research and project work.,Portfolio submission.
Law,CHEM264,2500,4970,6 months,Industry-oriented program.,Letters of recommendation.
Medicine,POL205,25000,25627,8 months,Industry-oriented program.,Interview with faculty.
Engineering,PHYS421,25000,27261,2 years,Designed for future professionals.,Bachelor degree in relevant field.
Computer Science,CHEM488,10000,10994,2 years,Focuses on theoretical and applied aspects.,Bachelor degree in relevant field.
Mathematics,BIO475,15000,17301,2 years,Comprehensive curriculum with practical exposure.,Portfolio submission.
Physics,ME117,2500,3934,3 years,Prepares students for global careers.,Interview with faculty.
History,EE189,20000,24859,3 years,An in-depth study of the subject.,Statement of purpose.
Economics,BIO193,7500,9086,2 years,Includes research and project work.,Bachelor degree in relevant field.
Biology,CHEM437,20000,22311,4 years,Industry-oriented program.,Portfolio submission.
