Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Engineering,ENG497,25000,27737,3 years,An in-depth study of the subject.,Minimum GPA 3.0.
Medicine,POL442,30000,31535,1 year,Accredited and recognized worldwide.,Minimum GPA 3.0.
Mathematics,CHEM381,20000,21698,2 years,Focuses on theoretical and applied aspects.,High school diploma or equivalent.
Physics,MED139,30000,31730,3 years,Focuses on theoretical and applied aspects.,Interview with faculty.
Computer Science,POL326,30000,31177,6 months,Industry-oriented program.,High school diploma or equivalent.
Biology,LAW237,35000,37408,1 year,Covers fundamentals and advanced topics.,Entrance exam required.
Chemistry,PHYS290,35000,36439,6 months,Comprehensive curriculum with practical exposure.,Interview with faculty.
Economics,ME444,5000,7846,2 years,Designed for future professionals.,Bachelor degree in relevant field.
Management,BIO239,2500,6384,3 years,Covers fundamentals and advanced topics.,Interview with faculty.
Design,MED441,25000,27140,8 months,Hands-on learning experience.,Bachelor degree in relevant field.
