Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Medicine,LAW422,20000,22904,8 months,Industry-oriented program.,Interview with faculty.
Engineering,EE326,20000,22596,2 years,Hands-on learning experience.,Interview with faculty.
Law,PHYS100,30000,30907,8 months,Comprehensive curriculum with practical exposure.,Work experience preferred.
Computer Science,BIO471,10000,13371,3 years,Covers fundamentals and advanced topics.,High school diploma or equivalent.
Mathematics,BIO155,35000,39433,1 year,Focuses on theoretical and applied aspects.,Bachelor degree in relevant field.
Physics,PHYS289,7500,11679,3 years,An in-depth study of the subject.,Bachelor degree in relevant field.
History,MED177,25000,29354,2 years,Covers fundamentals and advanced topics.,Work experience preferred.
Economics,CS432,2500,3286,1 year,Prepares students for global careers.,Statement of purpose.
Biology,ENG345,7500,12045,6 months,Accredited and recognized worldwide.,Minimum GPA 3.0.
Philosophy,MGMT332,10000,11458,6 months,Covers fundamentals and advanced topics.,Work experience preferred.
