Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Engineering,BIO433,7500,8721,4 years,Accredited and recognized worldwide.,High school diploma or equivalent.
Computer Science,PHYS255,15000,18891,3 years,An in-depth study of the subject.,English proficiency test.
Medicine,BIO110,1000,1846,8 months,Comprehensive curriculum with practical exposure.,Letters of recommendation.
Business,HIST169,1000,5232,2 years,An in-depth study of the subject.,Minimum GPA 3.0.
Law,LAW243,1000,3376,3 years,Focuses on theoretical and applied aspects.,Work experience preferred.
Biology,HIST403,1000,2118,6 months,Designed for future professionals.,Letters of recommendation.
Physics,ME166,25000,29599,8 months,Prepares students for global careers.,Entrance exam required.
Mathematics,POL145,7500,11840,4 years,Focuses on theoretical and applied aspects.,Statement of purpose.
Environmental Science,LAW153,20000,22867,4 years,Hands-on learning experience.,Letters of recommendation.
Economics,MED365,25000,29982,8 months,Prepares students for global careers.,Letters of recommendation.
