Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Computer Science,ME127,35000,38452,8 months,Prepares students for global careers.,Work experience preferred.
Electrical Engineering,ENG129,7500,12184,3 years,Designed for future professionals.,High school diploma or equivalent.
Mechanical Engineering,HIST299,15000,18757,8 months,Comprehensive curriculum with practical exposure.,Letters of recommendation.
Civil Engineering,MATH257,35000,39471,1 year,Focuses on theoretical and applied aspects.,Portfolio submission.
Chemical Engineering,CS205,10000,14474,1 year,Designed for future professionals.,Work experience preferred.
Physics,HIST393,15000,19699,8 months,Focuses on theoretical and applied aspects.,High school diploma or equivalent.
Mathematics,POL130,5000,6582,8 months,Focuses on theoretical and applied aspects.,Bachelor degree in relevant field.
Management,EE223,15000,19073,4 years,Designed for future professionals.,High school diploma or equivalent.
Design,MATH480,25000,28151,1 year,Covers fundamentals and advanced topics.,High school diploma or equivalent.
Environmental Science,POL412,5000,9057,8 months,Accredited and recognized worldwide.,Letters of recommendation.
