Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Health Sciences,HIST220,15000,19601,1 year,An in-depth study of the subject.,Entrance exam required.
Engineering,ARCH165,15000,16506,4 years,Industry-oriented program.,Interview with faculty.
Computer Science,ARCH157,35000,35994,1 year,Designed for future professionals.,Entrance exam required.
Business,ENG431,5000,6652,3 years,Accredited and recognized worldwide.,Interview with faculty.
Mathematics,CS240,25000,25883,3 years,Accredited and recognized worldwide.,Bachelor degree in relevant field.
Physics,LAW472,30000,33729,1 year,An in-depth study of the subject.,Letters of recommendation.
Biology,BIO103,35000,39200,1 year,Includes research and project work.,Bachelor degree in relevant field.
Economics,BIO262,10000,11609,8 months,Prepares students for global careers.,Portfolio submission.
Political Science,ECON248,25000,26237,8 months,Industry-oriented program.,Interview with faculty.
Environmental Science,POL423,20000,24796,1 year,Designed for future professionals.,English proficiency test.
