Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Economics,HIST107,7500,10807,1 year,Prepares students for global careers.,High school diploma or equivalent.
Law,ME473,1000,2880,6 months,Focuses on theoretical and applied aspects.,English proficiency test.
Mathematics,PHYS337,5000,9866,2 years,Accredited and recognized worldwide.,Portfolio submission.
Physics,ECON211,20000,21140,2 years,Comprehensive curriculum with practical exposure.,English proficiency test.
Political Science,ENG305,20000,23370,2 years,Industry-oriented program.,Portfolio submission.
Biology,CS392,20000,21709,4 years,Comprehensive curriculum with practical exposure.,Portfolio submission.
Computer Science,MATH492,30000,30929,1 year,Includes research and project work.,Bachelor degree in relevant field.
History,MATH382,10000,14798,6 months,Prepares students for global careers.,Letters of recommendation.
Philosophy,CHEM405,20000,21014,6 months,Comprehensive curriculum with practical exposure.,Minimum GPA 3.0.
Statistics,HIST368,30000,32254,2 years,Prepares students for global careers.,Interview with faculty.
