Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Medicine,ARCH248,30000,33804,2 years,Covers fundamentals and advanced topics.,English proficiency test.
Engineering,MED157,2500,7181,4 years,Industry-oriented program.,High school diploma or equivalent.
Law,MGMT220,10000,13080,1 year,Covers fundamentals and advanced topics.,Statement of purpose.
Computer Science,ECON397,30000,30853,6 months,Prepares students for global careers.,Interview with faculty.
Mathematics,ME446,10000,13805,8 months,Covers fundamentals and advanced topics.,English proficiency test.
Physics,ME129,1000,2814,8 months,Includes research and project work.,Interview with faculty.
Biology,MGMT479,7500,8712,1 year,Industry-oriented program.,High school diploma or equivalent.
Economics,PHYS157,25000,29766,1 year,An in-depth study of the subject.,Letters of recommendation.
Architecture,ECON381,20000,23775,3 years,Includes research and project work.,Statement of purpose.
Environmental Science,POL187,10000,12552,6 months,Comprehensive curriculum with practical exposure.,Work experience preferred.
