Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Computer Science,ECON494,1000,4502,8 months,Prepares students for global careers.,Work experience preferred.
Mechanical Engineering,ECON324,2500,5223,6 months,Hands-on learning experience.,Portfolio submission.
Physics,POL460,25000,29189,3 years,An in-depth study of the subject.,Portfolio submission.
Economics,PHYS176,7500,10935,2 years,Comprehensive curriculum with practical exposure.,Statement of purpose.
Electrical Engineering,MED418,35000,35877,8 months,Industry-oriented program.,Minimum GPA 3.0.
Mathematics,MGMT488,35000,36535,4 years,Focuses on theoretical and applied aspects.,Portfolio submission.
Biology,POL481,2500,3865,1 year,Hands-on learning experience.,Letters of recommendation.
Chemical Engineering,PHYS410,20000,21410,6 months,Hands-on learning experience.,Minimum GPA 3.0.
Architecture,MGMT394,20000,21648,6 months,Comprehensive curriculum with practical exposure.,Bachelor degree in relevant field.
Management,CHEM477,30000,34011,4 years,Includes research and project work.,Minimum GPA 3.0.
