Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Medicine,ENG250,2500,3013,4 years,Industry-oriented program.,High school diploma or equivalent.
Engineering,LAW366,30000,34572,1 year,Designed for future professionals.,Statement of purpose.
Law,ENG279,20000,22334,8 months,Covers fundamentals and advanced topics.,Work experience preferred.
Computer Science,ARCH177,15000,16256,2 years,An in-depth study of the subject.,English proficiency test.
Mathematics,CS294,15000,16758,2 years,Prepares students for global careers.,Minimum GPA 3.0.
Physics,LAW174,5000,6762,2 years,Designed for future professionals.,High school diploma or equivalent.
Biology,ME129,2500,6525,6 months,Covers fundamentals and advanced topics.,Letters of recommendation.
Economics,MATH156,20000,22983,6 months,Comprehensive curriculum with practical exposure.,Interview with faculty.
Architecture,MATH404,5000,7481,3 years,Includes research and project work.,Portfolio submission.
Environmental Science,MGMT198,15000,19404,4 years,An in-depth study of the subject.,Work experience preferred.
