Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Engineering,ENG205,25000,27409,8 months,Prepares students for global careers.,English proficiency test.
Law,PHYS465,20000,21405,6 months,Prepares students for global careers.,High school diploma or equivalent.
Medicine,PHYS374,35000,38026,6 months,Designed for future professionals.,High school diploma or equivalent.
Economics,MED392,30000,34071,3 years,Designed for future professionals.,Portfolio submission.
Physics,EE353,5000,8043,3 years,Accredited and recognized worldwide.,Minimum GPA 3.0.
Mathematics,BIO216,25000,25850,6 months,Designed for future professionals.,Portfolio submission.
Computer Science,MATH200,20000,22431,2 years,Focuses on theoretical and applied aspects.,Work experience preferred.
Biology,ME140,20000,23525,3 years,An in-depth study of the subject.,Work experience preferred.
Architecture,POL482,5000,8699,3 years,Covers fundamentals and advanced topics.,High school diploma or equivalent.
Political Science,MATH340,2500,3038,6 months,Prepares students for global careers.,Bachelor degree in relevant field.
