Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Law,CHEM297,25000,29827,6 months,Prepares students for global careers.,Entrance exam required.
Business,BIO237,30000,33492,4 years,Accredited and recognized worldwide.,Portfolio submission.
Medicine,ENG178,30000,31851,1 year,Hands-on learning experience.,Statement of purpose.
Computer Science,LAW116,2500,5405,2 years,Covers fundamentals and advanced topics.,Portfolio submission.
Economics,POL156,35000,35566,6 months,Comprehensive curriculum with practical exposure.,Statement of purpose.
Political Science,MGMT445,10000,12972,6 months,Designed for future professionals.,Letters of recommendation.
Biology,ENG124,1000,1840,2 years,Prepares students for global careers.,Interview with faculty.
History,MGMT443,35000,36508,6 months,Hands-on learning experience.,Bachelor degree in relevant field.
Engineering,HIST242,2500,3239,1 year,Prepares students for global careers.,Portfolio submission.
Mathematics,MATH396,35000,37751,4 years,Includes research and project work.,Work experience preferred.
