Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Political Science,ENG184,2500,3962,1 year,Designed for future professionals.,Portfolio submission.
Law,POL274,30000,33623,8 months,Comprehensive curriculum with practical exposure.,Interview with faculty.
Engineering,MGMT127,5000,7959,2 years,Includes research and project work.,Statement of purpose.
Computer Science,ME497,7500,11659,6 months,Hands-on learning experience.,Entrance exam required.
Mathematics,EE153,2500,6358,6 months,Prepares students for global careers.,Minimum GPA 3.0.
Physics,ME375,1000,3184,3 years,Accredited and recognized worldwide.,Letters of recommendation.
Biology,ECON339,10000,11562,8 months,Focuses on theoretical and applied aspects.,Portfolio submission.
Economics,MATH188,2500,3846,1 year,Covers fundamentals and advanced topics.,Work experience preferred.
Philosophy,POL378,30000,30585,1 year,Industry-oriented program.,Interview with faculty.
Environmental Science,CS265,2500,3976,4 years,Industry-oriented program.,Portfolio submission.
