Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Medicine,LAW473,15000,18505,6 months,Accredited and recognized worldwide.,Minimum GPA 3.0.
Engineering,ARCH108,35000,37832,1 year,Accredited and recognized worldwide.,Statement of purpose.
Law,ARCH420,10000,12742,3 years,Accredited and recognized worldwide.,Minimum GPA 3.0.
Computer Science,ARCH189,30000,33406,1 year,Industry-oriented program.,High school diploma or equivalent.
Mathematics,MED427,2500,5035,6 months,Covers fundamentals and advanced topics.,Work experience preferred.
Physics,LAW192,25000,29973,1 year,An in-depth study of the subject.,Portfolio submission.
Biology,EE406,5000,5876,1 year,Prepares students for global careers.,Work experience preferred.
Economics,MED319,15000,16437,2 years,Industry-oriented program.,Letters of recommendation.
Architecture,ECON449,7500,12075,2 years,Comprehensive curriculum with practical exposure.,Bachelor degree in relevant field.
Environmental Science,PHYS299,15000,16279,8 months,Comprehensive curriculum with practical exposure.,Letters of recommendation.
